customer_key,customer_id,customer_number,customer_name,customer_age,total_sales,total_quantity,total_order,total_products,last_order_date,lifespan,customer_segment,customer_age_group,recency,avg_order_value,avg_monthly_spend
1,11000,AW00011000,"Jon Yang",54,32996,32,3,8,2013-05-03,27,VIP,"Above 50",153,10998.6667,1222.0741
2,11001,AW00011001,"Eugene Huang",49,25536,44,3,10,2013-12-10,34,VIP,40-49,146,8512.0000,751.0588
3,11002,AW00011002,"Ruben Torres",55,32456,16,3,4,2013-02-23,25,VIP,"Above 50",155,10818.6667,1298.2400
4,11003,AW00011003,"Christy Zhu",52,32556,36,3,9,2013-05-10,28,VIP,"Above 50",153,10852.0000,1162.7143
5,11004,AW00011004,"Elizabeth Johnson",46,32784,24,3,6,2013-05-01,27,VIP,40-49,153,10928.0000,1214.2222
6,11005,AW00011005,"Julio Ruiz",49,32484,24,3,6,2013-05-02,28,VIP,40-49,153,10828.0000,1160.1429
7,11006,AW00011006,"Janet Alvarez",49,32476,20,3,5,2013-05-14,27,VIP,40-49,152,10825.3333,1202.8148
8,11007,AW00011007,"Marco Mehta",56,32844,32,3,8,2013-03-19,26,VIP,"Above 50",154,10948.0000,1263.2308
9,11008,AW00011008,"Rob Verhoff",50,32424,28,3,7,2013-03-02,25,VIP,"Above 50",155,10808.0000,1296.9600
10,11009,AW00011009,"Shannon Carlson",56,32364,20,3,5,2013-05-09,27,VIP,"Above 50",153,10788.0000,1198.6667
11,11010,AW00011010,"Jacquelyn Suarez",56,32352,16,3,4,2013-05-23,28,VIP,"Above 50",152,10784.0000,1155.4286
12,11011,AW00011011,"Curtis Lu",56,32532,16,3,4,2013-03-19,26,VIP,"Above 50",154,10844.0000,1251.2308
13,11012,AW00011012,"Lauren Walker",47,324,20,2,5,2013-10-15,6,New,40-49,147,162.0000,54.0000
14,11013,AW00011013,"Ian Jenkins",46,456,20,2,5,2014-01-21,9,New,40-49,144,228.0000,50.6667
15,11014,AW00011014,"Sydney Bennett",52,552,24,2,5,2013-04-30,1,New,"Above 50",153,276.0000,552.0000
16,11015,AW00011015,"Chloe Young",41,10004,12,1,3,2013-01-18,0,New,40-49,156,10004.0000,10004
17,11016,AW00011016,"Wyatt Hill",41,9328,12,1,3,2013-02-09,0,New,40-49,156,9328.0000,9328
18,11017,AW00011017,"Shannon Wang",76,25736,16,3,4,2013-10-14,33,VIP,"Above 50",147,8578.6667,779.8788
19,11018,AW00011018,"Clarence Rai",70,26132,28,3,7,2013-10-24,33,VIP,"Above 50",147,8710.6667,791.8788
20,11019,AW00011019,"Luke Lal",42,3520,132,17,20,2014-01-12,11,New,40-49,145,207.0588,320.0000
21,11020,AW00011020,"Jordan King",41,9268,8,1,2,2012-12-29,0,New,40-49,157,9268.0000,9268
22,11021,AW00011021,"Destiny Wilson",41,9488,12,1,3,2013-01-23,0,New,40-49,156,9488.0000,9488
23,11022,AW00011022,"Ethan Zhang",41,9288,8,1,2,2013-01-20,0,New,40-49,156,9288.0000,9288
24,11023,AW00011023,"Seth Edwards",41,488,24,2,6,2014-01-14,10,New,40-49,144,244.0000,48.8000
25,11024,AW00011024,"Russell Xie",41,224,24,2,5,2013-07-26,0,New,40-49,150,112.0000,224
26,11025,AW00011025,"Alejandro Beck",74,26308,24,3,6,2013-10-25,33,VIP,"Above 50",147,8769.3333,797.2121
27,11026,AW00011026,"Harold Sai",74,26300,28,3,7,2013-10-15,32,VIP,"Above 50",147,8766.6667,821.8750
28,11027,AW00011027,"Jessie Zhao",73,26364,36,3,9,2013-10-24,33,VIP,"Above 50",147,8788.0000,798.9091
29,11028,AW00011028,"Jill Jimenez",74,25896,20,3,5,2013-10-07,32,VIP,"Above 50",148,8632.0000,809.2500
30,11029,AW00011029,"Jimmy Moreno",73,26260,28,3,7,2013-11-11,33,VIP,"Above 50",147,8753.3333,795.7576
31,11030,AW00011030,"Bethany Yuan",67,25884,16,3,4,2013-11-09,33,VIP,"Above 50",147,8628.0000,784.3636
32,11031,AW00011031,"Theresa Ramos",72,25912,24,3,6,2013-11-13,33,VIP,"Above 50",147,8637.3333,785.2121
33,11032,AW00011032,"Denise Stone",73,26100,40,3,10,2013-11-08,32,VIP,"Above 50",147,8700.0000,815.6250
34,11033,AW00011033,"Jaime Nath",67,25980,28,3,7,2013-11-05,32,VIP,"Above 50",147,8660.0000,811.8750
35,11034,AW00011034,"Ebony Gonzalez",73,25964,16,3,4,2013-11-10,33,VIP,"Above 50",147,8654.6667,786.7879
36,11035,AW00011035,"Wendy Dominguez",72,25804,20,3,5,2013-11-15,33,VIP,"Above 50",146,8601.3333,781.9394
